Step,GPU_mem,StepsFunctional,FPS,taskIdx,EvalScore,EpisodeScore,numEpisodes,Loss
1000,190.11669921875,8000,23,13,5.8,75,60,0.9421171922995684
2000,118.55029296875,16000,16,13,5.8,67,119,0.6767515185930542
3000,130.271484375,24000,16,13,7.5,75,176,0.6777668452783264
4000,211.5751953125,32000,16,13,2.5,25,233,0.67526524118008
5000,168.70751953125,40000,15,13,5.8,75,294,0.6465812400330354
6000,170.8232421875,48000,15,13,6.7,75,352,0.6858347356668683
7000,164.54248046875,56000,15,13,6.7,67,407,0.6369403986772508
8000,190.11767578125,64000,15,13,2.5,67,461,0.5520425643133939
9000,142.6044921875,72000,15,13,5.8,67,520,0.5780375521045654
10000,160.4375,80000,15,13,1.7,67,576,0.5457721762715375
